Date,AAPL,SPY,ret,logret,mkt_ret,mkt_logret,vol_20,vol_60,vol_252,beta_rolling,cum_return,rolling_max,drawdown
2020-01-03,71.8332748413086,297.13922119140625,-0.009722260787179526,-0.009769830539381215,-0.00757255768859133,-0.007601375076631564,,,,,0.9902777392128205,0.9902777392128205,0.0
2020-01-06,72.40567779541016,298.2728576660156,0.007968493088559514,0.007936912304083369,0.0038151694349333187,0.003807910133808961,,,,,0.9981687605334921,0.9981687605334921,0.0
2020-01-07,72.06514739990234,297.4342041015625,-0.004703089673022798,-0.004714183997996596,-0.0028116992307499755,-0.002815659482131217,,,,,0.9934742833438931,0.9981687605334921,-0.004703089673022798
2020-01-08,73.22441101074219,299.0193786621094,0.01608632817202027,0.0159583142199052,0.005329496536335077,0.005315345027679789,,,,,1.0094556366962255,1.0094556366962255,0.0
2020-01-09,74.7797622680664,301.04693603515625,0.02124088450634365,0.02101844133225848,0.006780688870797302,0.006757803394632057,,,,,1.0308973672895676,1.0308973672895676,0.0
2020-01-10,74.94880676269531,300.18060302734375,0.002260564750432348,0.002258013518030841,-0.002877734014576805,-0.002881882652134694,,,,,1.033227777539376,1.033227777539376,0.0
2020-01-13,76.55004119873047,302.2449951171875,0.021364375300930716,0.0211393563197673,0.006877166842308213,0.006853626993771313,,,,,1.0553020435500737,1.0553020435500737,0.0
2020-01-14,75.51637268066406,301.7842102050781,-0.013503173896182719,-0.013595170854782236,-0.0015245410827422479,-0.0015257043779766477,,,,,1.04105211654302,1.0553020435500737,-0.01350317389618283
2020-01-15,75.1927261352539,302.4662780761719,-0.0042857798106744616,-0.0042949900898730875,0.002260117819385732,0.002257567594922636,,,,,1.03659039640008,1.0553020435500737,-0.01773108207679297
2020-01-16,76.13465118408203,304.9822082519531,0.012526810733445526,0.012448999384711435,0.008318051823111405,0.008283647483104617,,,,,1.049575568103891,1.0553020435500737,-0.005426385252622734
2020-01-17,76.9775390625,305.9314880371094,0.011071015172578802,0.011010180076468671,0.0031125743058821875,0.003107740274733961,,,,,1.0611954351431372,1.0611954351431372,0.0
2020-01-21,76.45586395263672,305.33245849609375,-0.006776978274659062,-0.006800046271876208,-0.0019580512776212755,-0.001959970766071322,,,,,1.0540037367340047,1.0611954351431372,-0.006776978274659173
2020-01-22,76.728759765625,305.36932373046875,0.0035693248219303975,0.0035629698994538396,0.0001207380131040825,0.0001207307248568181,,,,,1.0577658184339367,1.0611954351431372,-0.0032318426895022734
2020-01-23,77.09827423095703,305.71954345703125,0.004815853487802224,0.004804294361909957,0.0011468726533632179,0.001146215497323238,,,,,1.0628598636399198,1.0628598636399198,0.0
2020-01-24,76.8760986328125,303.0007629394531,-0.002881719472461519,-0.0028858796201952307,-0.008893054355748942,-0.008932833578440496,,,,,1.0597969996743708,1.0628598636399198,-0.002881719472461519
2020-01-27,74.61553192138672,298.143798828125,-0.029405325603514942,-0.029846328945005964,-0.01602954416421276,-0.016159406937756457,,,,,1.0286333238253178,1.0628598636399198,-0.03220230717659067
2020-01-28,76.72634887695312,301.26812744140625,0.02828924355575624,0.027896492783784314,0.010479267472815579,0.01042474055340112,,,,,1.0577325824525794,1.0628598636399198,-0.004824042531610173
2020-01-29,78.33242797851562,301.0192565917969,0.02093256260816201,0.02071648666630204,-0.0008260775931492326,-0.0008264189832669503,,,,,1.079873635957461,1.079873635957461,0.0
2020-01-30,78.21891021728516,301.99615478515625,-0.0014491796585394123,-0.0014502307349692231,0.0032453013286259935,0.0032400467037606837,,,,,1.0783087050504385,1.079873635957461,-0.0014491796585393013
2020-01-31,74.75077056884766,296.51251220703125,-0.04433888990275259,-0.0453519161222029,-0.01815798807778246,-0.018324867560483647,0.01767916586700896,,,,1.0304976940960273,1.079873635957461,-0.04572381454396279
2020-02-03,74.54550170898438,298.7152404785156,-0.0027460433959569652,-0.0027498206897831282,0.007428786917249575,0.0074013293799964925,0.017510940204489345,,,,1.027667902708606,1.079873635957461,-0.04834429836095333
2020-02-04,77.00650024414062,303.26800537109375,0.033013374096852344,0.03248013690446846,0.015241153699707466,0.015126174125680092,0.018807589901764253,,,,1.0615946876280529,1.079873635957461,-0.016926932671340933
2020-02-05,77.63445281982422,306.7701721191406,0.008154539859527965,0.0081214712505922,0.011548091740707811,0.011481921468949094,0.01874091667814317,,,,1.070251503822979,1.079873635957461,-0.008910424158981023
2020-02-06,78.54253387451172,307.8024597167969,0.011696882269460973,0.01162900255001708,0.003365019455852991,0.003359370447019655,0.018615940127536836,,,,1.08277010966191,1.08277010966191,0.0
2020-02-07,77.47492218017578,306.16192626953125,-0.013592783956291377,-0.013686011623776494,-0.005329825657582665,-0.0053440798491497625,0.01851546514489602,,,,1.0680522494869458,1.08277010966191,-0.013592783956291377
2020-02-10,77.84288787841797,308.447509765625,0.00474948135328801,0.004738238152253457,0.007465276704855972,0.007437549435699858,0.018526124465886244,,,,1.0731249437302213,1.08277010966191,-0.008907861276943096
2020-02-11,77.37325286865234,308.9820861816406,-0.006033113911435906,-0.006051386674680895,0.0017331195716958625,0.001731619452977608,0.01802986815318247,,,,1.0666506587034936,1.08277010966191,-0.0148872330465879
2020-02-12,79.21068572998047,310.9727478027344,0.023747649132024096,0.023470059852370363,0.0064426441211984375,0.006421979000749761,0.01840659471486644,,,,1.0919811042928265,1.0919811042928265,0.0
2020-02-13,78.6466293334961,310.6409606933594,-0.0071209634317164205,-0.007146438501883151,-0.001066933072815357,-0.0010675026510769219,0.01847283314614979,,,,1.0842051467810319,1.0919811042928265,-0.007120963431716532
